year,film,category,won,discount
1981,Reds,"ACTOR IN A SUPPORTING ROLE -- Jack Nicholson {""Eugene O'Neill""}",,
1981,Reds,"ACTRESS IN A LEADING ROLE -- Diane Keaton {""Louise Bryant""}",,
1981,Reds,"ACTRESS IN A SUPPORTING ROLE -- Maureen Stapleton {""Emma Goldman""}",won,
1981,Reds,ART DIRECTION -- Art Direction: Richard Sylbert; Set Decoration: Michael Seirton,,
1981,Reds,CINEMATOGRAPHY -- Vittorio Storaro,won,
1981,Reds,COSTUME DESIGN -- Shirley Russell,,
1981,Reds,DIRECTING -- Warren Beatty,won,
1981,Reds,"FILM EDITING -- Dede Allen, Craig McKay",,
1981,Reds,"BEST PICTURE -- Warren Beatty, Producer",,
1981,Reds,"SOUND -- Dick Vorisek, Tom Fleischman, Simon Kaye",,
1981,Reds,"WRITING (Screenplay Written Directly for the Screen) -- Warren Beatty, Trevor Griffiths",,
1993,Schindler's List,"ACTOR IN A LEADING ROLE -- Liam Neeson {""Oskar Schindler""}",,
1993,Schindler's List,"ACTOR IN A SUPPORTING ROLE -- Ralph Fiennes {""Amon Goeth""}",,
1993,Schindler's List,ART DIRECTION -- Art Direction: Allan Starski; Set Decoration: Ewa Braun,won,
1993,Schindler's List,CINEMATOGRAPHY -- Janusz Kaminski,won,
1993,Schindler's List,COSTUME DESIGN -- Anna Biedrzycka-Sheppard,,
1993,Schindler's List,DIRECTING -- Steven Spielberg,won,
1993,Schindler's List,FILM EDITING -- Michael Kahn,won,
1993,Schindler's List,"MAKEUP -- Christina Smith, Matthew Mungle, Judy Alexander Cory",,
1993,Schindler's List,MUSIC (Original Score) -- John Williams,won,
1993,Schindler's List,"BEST PICTURE -- Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",won,
1993,Schindler's List,"SOUND -- Andy Nelson, Steve Pederson, Scott Millan, Ron Judkins",,
1993,Schindler's List,WRITING (Screenplay Based on Material Previously Produced or Published) -- Steven Zaillian ,won,
1996,The English Patient,"ACTOR IN A LEADING ROLE -- Ralph Fiennes {""Almasy""}",,
1996,The English Patient,"ACTRESS IN A LEADING ROLE -- Kristin Scott Thomas {""Katharine Clifton""}",,
1996,The English Patient,"ACTRESS IN A SUPPORTING ROLE -- Juliette Binoche {""Hana""}",won,
1996,The English Patient,ART DIRECTION -- Art Direction: Stuart Craig; Set Decoration: Stephenie McMillan,won,
1996,The English Patient,CINEMATOGRAPHY -- John Seale,won,
1996,The English Patient,COSTUME DESIGN -- Ann Roth,won,
1996,The English Patient,DIRECTING -- Anthony Minghella,won,
1996,The English Patient,FILM EDITING -- Walter Murch,won,
1996,The English Patient,MUSIC (Original Dramatic Score) -- Gabriel Yared,won,
1996,The English Patient,"BEST PICTURE -- Saul Zaentz, Producer",won,
1996,The English Patient,"SOUND -- Walter Murch, Mark Berger, David Parker, Chris Newman",won,
1996,The English Patient,WRITING (Screenplay Based on Material Previously Produced or Published) -- Anthony Minghella,,
2010,The King's Speech,"ACTOR IN A LEADING ROLE -- Colin Firth {""King George VI""}",won,
2010,The King's Speech,"ACTOR IN A SUPPORTING ROLE -- Geoffrey Rush {""Lionel Logue""}",,
2010,The King's Speech,"ACTRESS IN A SUPPORTING ROLE -- Helena Bonham Carter {""Queen Elizabeth""}",,
2010,The King's Speech,ART DIRECTION -- Production Design: Eve Stewart; Set Decoration: Judy Farr,,
2010,The King's Speech,CINEMATOGRAPHY -- Danny Cohen,,
2010,The King's Speech,COSTUME DESIGN -- Jenny Beavan,,
2010,The King's Speech,DIRECTING -- Tom Hooper,won,
2010,The King's Speech,FILM EDITING -- Tariq Anwar,,
2010,The King's Speech,MUSIC (Original Score) -- Alexandre Desplat,,
2010,The King's Speech,"BEST PICTURE -- Iain Canning, Emile Sherman and Gareth Unwin, Producers",won,
2010,The King's Speech,"SOUND MIXING -- Paul Hamblin, Martin Jensen and John Midgley",,
2010,The King's Speech,WRITING (Original Screenplay) -- Screenplay by David Seidler,won,
2021,The Power of the Dog,"ACTOR IN A LEADING ROLE -- Benedict Cumberbatch {""Phil Burbank""}",,
2021,The Power of the Dog,"ACTOR IN A SUPPORTING ROLE -- Jesse Plemons {""George Burbank""}",,
2021,The Power of the Dog,"ACTOR IN A SUPPORTING ROLE -- Kodi Smit-McPhee {""Peter Gordon""}",,
2021,The Power of the Dog,"ACTRESS IN A SUPPORTING ROLE -- Kirsten Dunst {""Rose Gordon""}",,
2021,The Power of the Dog,CINEMATOGRAPHY -- Ari Wegner,,
2021,The Power of the Dog,DIRECTING -- Jane Campion,won,
2021,The Power of the Dog,FILM EDITING -- Peter Sciberras,,
2021,The Power of the Dog,MUSIC (Original Score) -- Jonny Greenwood,,
2021,The Power of the Dog,"BEST PICTURE -- Jane Campion, Tanya Seghatchian, Emile Sherman, Iain Canning and Roger Frappier, Producers",,
2021,The Power of the Dog,PRODUCTION DESIGN -- Production Design: Grant Major; Set Decoration: Amber Richards,,
2021,The Power of the Dog,"SOUND -- Richard Flynn, Robert Mackenzie and Tara Webb",,
2021,The Power of the Dog,WRITING (Adapted Screenplay) -- Written by Jane Campion,,
2015,The Revenant,"ACTOR IN A LEADING ROLE -- Leonardo DiCaprio {""Hugh Glass""} ",won,
2015,The Revenant,"ACTOR IN A SUPPORTING ROLE -- Tom Hardy {""John Fitzgerald""}",,
2015,The Revenant,CINEMATOGRAPHY -- Emmanuel Lubezki,won,
2015,The Revenant,COSTUME DESIGN -- Jacqueline West,,
2015,The Revenant,DIRECTING -- Alejandro G. Iñárritu,won,
2015,The Revenant,FILM EDITING -- Stephen Mirrione,,
2015,The Revenant,"MAKEUP AND HAIRSTYLING -- Siân Grigg, Duncan Jarman and Robert Pandini",,
2015,The Revenant,"BEST PICTURE -- Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon, Producers",,
2015,The Revenant,PRODUCTION DESIGN -- Production Design: Jack Fisk; Set Decoration: Hamish Purdy,,
2015,The Revenant,SOUND EDITING -- Martin Hernandez and Lon Bender,,
2015,The Revenant,"SOUND MIXING -- Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",,
2015,The Revenant,"VISUAL EFFECTS -- Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",,
1943,The Song of Bernadette,"ACTOR IN A SUPPORTING ROLE -- Charles Bickford {""Dean Peyramale""}",,
1943,The Song of Bernadette,"ACTRESS -- Jennifer Jones {""Bernadette Soubirous""}",won,
1943,The Song of Bernadette,"ACTRESS IN A SUPPORTING ROLE -- Gladys Cooper {""Sister Vauzous""}",,
1943,The Song of Bernadette,"ACTRESS IN A SUPPORTING ROLE -- Anne Revere {""Louise Soubirous""}",,
1943,The Song of Bernadette,"ART DIRECTION (Black-and-White) -- Art Direction: James Basevi, William Darling; Interior Decoration: Thomas Little",won,
1943,The Song of Bernadette,CINEMATOGRAPHY (Black-and-White) -- Arthur Miller,won,
1943,The Song of Bernadette,DIRECTING -- Henry King,,
1943,The Song of Bernadette,FILM EDITING -- Barbara McLean,,
1943,The Song of Bernadette,MUSIC (Music Score of a Dramatic or Comedy Picture) -- Alfred Newman,won,
1943,The Song of Bernadette,OUTSTANDING MOTION PICTURE -- 20th Century-Fox,,
1943,The Song of Bernadette,"SOUND RECORDING -- 20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",,
1943,The Song of Bernadette,WRITING (Screenplay) -- George Seaton,,
1984,A Passage to India,"ACTRESS IN A LEADING ROLE -- Judy Davis {""Adela Quested""}",,
1984,A Passage to India,"ACTRESS IN A SUPPORTING ROLE -- Peggy Ashcroft {""Mrs. Moore""}",won,
1984,A Passage to India,"ART DIRECTION -- Art Direction: John Box, Leslie Tomkins; Set Decoration: Hugh Scaife",,
1984,A Passage to India,CINEMATOGRAPHY -- Ernest Day,,
1984,A Passage to India,COSTUME DESIGN -- Judy Moorcroft,,
1984,A Passage to India,DIRECTING -- David Lean,,
1984,A Passage to India,FILM EDITING -- David Lean,,
1984,A Passage to India,MUSIC (Original Score) -- Maurice Jarre,won,
1984,A Passage to India,"BEST PICTURE -- John Brabourne and Richard Goodwin, Producers",,
1984,A Passage to India,"SOUND -- Graham V. Hartstone, Nicolas Le Messurier, Michael A. Carter, John Mitchell",,
1984,A Passage to India,WRITING (Screenplay Based on Material from Another Medium) -- David Lean,,
1984,Amadeus,"ACTOR IN A LEADING ROLE -- F. Murray Abraham {""Antonio Salieri""}",won,
1984,Amadeus,"ACTOR IN A LEADING ROLE -- Tom Hulce {""Wolfgang Amadeus Mozart""}",,
1984,Amadeus,ART DIRECTION -- Art Direction: Patrizia Von Brandenstein; Set Decoration: Karel Cerny,won,
1984,Amadeus,CINEMATOGRAPHY -- Miroslav Ondricek,,
1984,Amadeus,COSTUME DESIGN -- Theodor Pistek,won,
1984,Amadeus,DIRECTING -- Milos Forman,won,
1984,Amadeus,"FILM EDITING -- Nena Danevic, Michael Chandler",,
1984,Amadeus,"MAKEUP -- Paul LeBlanc, Dick Smith",won,
1984,Amadeus,"BEST PICTURE -- Saul Zaentz, Producer",won,
1984,Amadeus,"SOUND -- Mark Berger, Tom Scott, Todd Boekelheide, Chris Newman",won,
1984,Amadeus,WRITING (Screenplay Based on Material from Another Medium) -- Peter Shaffer ,won,
1974,Chinatown,"ACTOR -- Jack Nicholson {""J. J. Gittes""}",,
1974,Chinatown,"ACTRESS -- Faye Dunaway {""Evelyn Cross Mulwray""}",,
1974,Chinatown,"ART DIRECTION -- Art Direction: Richard Sylbert, W. Stewart Campbell; Set Decoration: Ruby Levitt",,
1974,Chinatown,CINEMATOGRAPHY -- John A. Alonzo,,
1974,Chinatown,COSTUME DESIGN -- Anthea Sylbert,,
1974,Chinatown,DIRECTING -- Roman Polanski,,
1974,Chinatown,FILM EDITING -- Sam O'Steen,,
1974,Chinatown,MUSIC (Original Dramatic Score) -- Jerry Goldsmith,,
1974,Chinatown,"BEST PICTURE -- Robert Evans, Producer",,
1974,Chinatown,"SOUND -- Bud Grenzbach, Larry Jost",,
1974,Chinatown,WRITING (Original Screenplay) -- Robert Towne ,won,
2022,Everything Everywhere All at Once,"ACTOR IN A SUPPORTING ROLE -- Ke Huy Quan {""Waymond Wang""} ",won,
2022,Everything Everywhere All at Once,"ACTRESS IN A LEADING ROLE -- Michelle Yeoh {""Evelyn Wang""} ",won,
2022,Everything Everywhere All at Once,"ACTRESS IN A SUPPORTING ROLE -- Jamie Lee Curtis {""Deirdre Beaubeirdra""} ",won,
2022,Everything Everywhere All at Once,"ACTRESS IN A SUPPORTING ROLE -- Stephanie Hsu {""Joy Wang/Jobu Tupaki""}",,
2022,Everything Everywhere All at Once,COSTUME DESIGN -- Shirley Kurata,,
2022,Everything Everywhere All at Once,DIRECTING -- Daniel Kwan and Daniel Scheinert,won,
2022,Everything Everywhere All at Once,FILM EDITING -- Paul Rogers,won,
2022,Everything Everywhere All at Once,MUSIC (Original Score) -- Son Lux,,
2022,Everything Everywhere All at Once,"MUSIC (Original Song) -- ""This Is A Life,"" Music by Ryan Lott, David Byrne and Mitski; Lyric by Ryan Lott and David Byrne",,
2022,Everything Everywhere All at Once,"BEST PICTURE -- Daniel Kwan, Daniel Scheinert and Jonathan Wang, Producers",won,
2022,Everything Everywhere All at Once,WRITING (Original Screenplay) -- Written by Daniel Kwan & Daniel Scheinert ,won,
1982,Gandhi,"ACTOR IN A LEADING ROLE -- Ben Kingsley {""Mahatma Gandhi""} ",won,
1982,Gandhi,"ART DIRECTION -- Art Direction: Stuart Craig, Bob Laing; Set Decoration: Michael Seirton",won,
1982,Gandhi,"CINEMATOGRAPHY -- Billy Williams, Ronnie Taylor",won,
1982,Gandhi,"COSTUME DESIGN -- John Mollo, Bhanu Athaiya",won,
1982,Gandhi,DIRECTING -- Richard Attenborough,won,
1982,Gandhi,FILM EDITING -- John Bloom,won,
1982,Gandhi,MAKEUP -- Tom Smith,,
1982,Gandhi,"MUSIC (Original Score) -- Ravi Shankar, George Fenton",,
1982,Gandhi,"BEST PICTURE -- Richard Attenborough, Producer",won,
1982,Gandhi,"SOUND -- Gerry Humphreys, Robin O'Donoghue, Jonathan Bates, Simon Kaye",,
1982,Gandhi,WRITING (Screenplay Written Directly for the Screen) -- John Briley ,won,
2011,Hugo,ART DIRECTION -- Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,won,
2011,Hugo,CINEMATOGRAPHY -- Robert Richardson,won,
2011,Hugo,COSTUME DESIGN -- Sandy Powell,,
2011,Hugo,DIRECTING -- Martin Scorsese,,
2011,Hugo,FILM EDITING -- Thelma Schoonmaker,,
2011,Hugo,MUSIC (Original Score) -- Howard Shore,,
2011,Hugo,"BEST PICTURE -- Graham King and Martin Scorsese, Producers",,
2011,Hugo,SOUND EDITING -- Philip Stockton and Eugene Gearty,won,
2011,Hugo,SOUND MIXING -- Tom Fleischman and John Midgley,won,
2011,Hugo,"VISUAL EFFECTS -- Rob Legato, Joss Williams, Ben Grossmann and Alex Henning",won,
2011,Hugo,WRITING (Adapted Screenplay) -- Screenplay by John Logan,,
2019,Joker,"ACTOR IN A LEADING ROLE -- Joaquin Phoenix {""Arthur Fleck""}",won,
2019,Joker,CINEMATOGRAPHY -- Lawrence Sher,,
2019,Joker,COSTUME DESIGN -- Mark Bridges,,
2019,Joker,DIRECTING -- Todd Phillips,,
2019,Joker,FILM EDITING -- Jeff Groth,,
2019,Joker,MAKEUP AND HAIRSTYLING -- Nicki Ledermann and Kay Georgiou,,
2019,Joker,MUSIC (Original Score) -- Hildur Guðnadóttir,won,
2019,Joker,"BEST PICTURE -- Todd Phillips, Bradley Cooper and Emma Tillinger Koskoff, Producers",,
2019,Joker,SOUND EDITING -- Alan Robert Murray,,
2019,Joker,"SOUND MIXING -- Tom Ozanich, Dean Zupancic and Tod Maitland",,
2019,Joker,WRITING (Adapted Screenplay) -- Written by Todd Phillips & Scott Silver,,
1961,Judgment at Nuremberg,"ACTOR -- Maximilian Schell {""Hans Rolfe""}",won,
1961,Judgment at Nuremberg,"ACTOR -- Spencer Tracy {""Judge Dan Haywood""}",,
1961,Judgment at Nuremberg,"ACTOR IN A SUPPORTING ROLE -- Montgomery Clift {""Rudolph Petersen""}",,
1961,Judgment at Nuremberg,"ACTRESS IN A SUPPORTING ROLE -- Judy Garland {""Irene Hoffman""}",,
1961,Judgment at Nuremberg,ART DIRECTION (Black-and-White) -- Art Direction: Rudolph Sternad; Set Decoration: George Milo,,
1961,Judgment at Nuremberg,CINEMATOGRAPHY (Black-and-White) -- Ernest Laszlo,,
1961,Judgment at Nuremberg,COSTUME DESIGN (Black-and-White) -- Jean Louis,,
1961,Judgment at Nuremberg,DIRECTING -- Stanley Kramer,,
1961,Judgment at Nuremberg,FILM EDITING -- Frederic Knudtson,,
1961,Judgment at Nuremberg,"BEST MOTION PICTURE -- Stanley Kramer, Producer",,
1961,Judgment at Nuremberg,WRITING (Screenplay--based on material from another medium) -- Abby Mann ,won,
1977,Julia,"ACTOR IN A SUPPORTING ROLE -- Jason Robards {""Dashiell Hammett""}",won,
1977,Julia,"ACTOR IN A SUPPORTING ROLE -- Maximilian Schell {""Johann""}",,
1977,Julia,"ACTRESS IN A LEADING ROLE -- Jane Fonda {""Lillian Hellman""}",,
1977,Julia,"ACTRESS IN A SUPPORTING ROLE -- Vanessa Redgrave {""Julia""}",won,
1977,Julia,CINEMATOGRAPHY -- Douglas Slocombe,,
1977,Julia,COSTUME DESIGN -- Anthea Sylbert,,
1977,Julia,DIRECTING -- Fred Zinnemann,,
1977,Julia,FILM EDITING -- Walter Murch,,
1977,Julia,MUSIC (Original Score) -- Georges Delerue,,
1977,Julia,"BEST PICTURE -- Richard Roth, Producer",,
1977,Julia,WRITING (Screenplay--based on material from another medium) -- Alvin Sargent,won,
2012,Life of Pi,CINEMATOGRAPHY -- Claudio Miranda,won,
2012,Life of Pi,DIRECTING -- Ang Lee,won,
2012,Life of Pi,FILM EDITING -- Tim Squyres,,
2012,Life of Pi,MUSIC (Original Score) -- Mychael Danna,won,
2012,Life of Pi,"MUSIC (Original Song) -- ""Pi's Lullaby,"" Music by Mychael Danna; Lyric by Bombay Jayashri",,
2012,Life of Pi,"BEST PICTURE -- Gil Netter, Ang Lee and David Womark, Producers",,
2012,Life of Pi,PRODUCTION DESIGN -- Production Design: David Gropman; Set Decoration: Anna Pinnock,,
2012,Life of Pi,SOUND EDITING -- Eugene Gearty and Philip Stockton,,
2012,Life of Pi,"SOUND MIXING -- Ron Bartlett, D.M. Hemphill and Drew Kunin",,
2012,Life of Pi,"VISUAL EFFECTS -- Bill Westenhofer, Guillaume Rocheron, Erik-Jan De Boer and Donald R. Elliott",won,
2012,Life of Pi,WRITING (Adapted Screenplay) -- Screenplay by David Magee,,
1939,Mr. Smith Goes to Washington,"ACTOR -- James Stewart {""Jefferson Smith""}",,
1939,Mr. Smith Goes to Washington,"ACTOR IN A SUPPORTING ROLE -- Harry Carey {""President of the Senate""}",,
1939,Mr. Smith Goes to Washington,"ACTOR IN A SUPPORTING ROLE -- Claude Rains {""Senator Joseph Paine""}",,
1939,Mr. Smith Goes to Washington,ART DIRECTION -- Lionel Banks,,
1939,Mr. Smith Goes to Washington,DIRECTING -- Frank Capra,,
1939,Mr. Smith Goes to Washington,"FILM EDITING -- Gene Havlick, Al Clark",,
1939,Mr. Smith Goes to Washington,MUSIC (Scoring) -- Dimitri Tiomkin,,
1939,Mr. Smith Goes to Washington,OUTSTANDING PRODUCTION -- Columbia,,
1939,Mr. Smith Goes to Washington,"SOUND RECORDING -- Columbia Studio Sound Department, John Livadary, Sound Director",,
1939,Mr. Smith Goes to Washington,WRITING (Original Story) -- Lewis R. Foster,won,
1939,Mr. Smith Goes to Washington,WRITING (Screenplay) -- Sidney Buchman,,
1968,Oliver!,"ACTOR -- Ron Moody {""Fagin""}",,
1968,Oliver!,"ACTOR IN A SUPPORTING ROLE -- Jack Wild {""The Artful Dodger""}",,
1968,Oliver!,"ART DIRECTION -- Art Direction: John Box, Terence Marsh; Set Decoration: Vernon Dixon, Ken Muggleston",won,
1968,Oliver!,CINEMATOGRAPHY -- Oswald Morris,,
1968,Oliver!,COSTUME DESIGN -- Phyllis Dalton,,
1968,Oliver!,DIRECTING -- Carol Reed,won,
1968,Oliver!,FILM EDITING -- Ralph Kemplen,,
1968,Oliver!,MUSIC (Score of a Musical Picture--original or adaptation) -- Adaptation score by John Green,won,
1968,Oliver!,"BEST PICTURE -- John Woolf, Producer",won,
1968,Oliver!,SOUND -- Shepperton Studio Sound Department,won,
1968,Oliver!,WRITING (Screenplay--based on material from another medium) -- Vernon Harris,,
1968,Oliver!,HONORARY AWARD,won,x
1985,Out of Africa,"ACTOR IN A SUPPORTING ROLE -- Klaus Maria Brandauer {""Bror""}",,
1985,Out of Africa,"ACTRESS IN A LEADING ROLE -- Meryl Streep {""Karen""}",,
1985,Out of Africa,ART DIRECTION -- Art Direction: Stephen Grimes; Set Decoration: Josie MacAvin,won,
1985,Out of Africa,CINEMATOGRAPHY -- David Watkin,won,
1985,Out of Africa,COSTUME DESIGN -- Milena Canonero,,
1985,Out of Africa,DIRECTING -- Sydney Pollack,won,
1985,Out of Africa,"FILM EDITING -- Fredric Steinkamp, William Steinkamp, Pembroke Herring, Sheldon Kahn",,
1985,Out of Africa,MUSIC (Original Score) -- John Barry,won,
1985,Out of Africa,"BEST PICTURE -- Sydney Pollack, Producer",won,
1985,Out of Africa,"SOUND -- Chris Jenkins, Gary Alexander, Larry Stensvold, Peter Handford",won,
1985,Out of Africa,WRITING (Screenplay Based on Material from Another Medium) -- Kurt Luedtke ,won,
1940,Rebecca,"ACTOR -- Laurence Olivier {""Maxim de Winter""}",,
1940,Rebecca,"ACTRESS -- Joan Fontaine {""Mrs. de Winter""}",,
1940,Rebecca,"ACTRESS IN A SUPPORTING ROLE -- Judith Anderson {""Mrs. Danvers""}",,
1940,Rebecca,ART DIRECTION (Black-and-White) -- Lyle Wheeler,,
1940,Rebecca,CINEMATOGRAPHY (Black-and-White) -- George Barnes,won,
1940,Rebecca,DIRECTING -- Alfred Hitchcock,,
1940,Rebecca,FILM EDITING -- Hal C. Kern,,
1940,Rebecca,MUSIC (Original Score) -- Franz Waxman,,
1940,Rebecca,OUTSTANDING PRODUCTION -- Selznick International Pictures,won,
1940,Rebecca,SPECIAL EFFECTS -- Photographic Effects by Jack Cosgrove; Sound Effects by Arthur Johns,,
1940,Rebecca,"WRITING (Screenplay) -- Robert E. Sherwood, Joan Harrison",,
1998,Saving Private Ryan,"ACTOR IN A LEADING ROLE -- Tom Hanks {""Captain Miller""}",,
1998,Saving Private Ryan,ART DIRECTION -- Art Direction: Tom Sanders; Set Decoration: Lisa Dean Kavanaugh,,
1998,Saving Private Ryan,CINEMATOGRAPHY -- Janusz Kaminski,won,
1998,Saving Private Ryan,DIRECTING -- Steven Spielberg,won,
1998,Saving Private Ryan,FILM EDITING -- Michael Kahn,won,
1998,Saving Private Ryan,"MAKEUP -- Lois Burwell, Conor O'Sullivan, Daniel C. Striepeke",,
1998,Saving Private Ryan,MUSIC (Original Dramatic Score) -- John Williams,,
1998,Saving Private Ryan,"BEST PICTURE -- Steven Spielberg, Ian Bryce, Mark Gordon and Gary Levinsohn, Producers",,
1998,Saving Private Ryan,"SOUND -- Gary Rydstrom, Gary Summers, Andy Nelson, Ronald Judkins",won,
1998,Saving Private Ryan,"SOUND EFFECTS EDITING -- Gary Rydstrom, Richard Hymns",won,
1998,Saving Private Ryan,WRITING (Screenplay Written Directly for the Screen) -- Robert Rodat,,
1941,Sergeant York,"ACTOR -- Gary Cooper {""Alvin C. York""}",won,
1941,Sergeant York,"ACTOR IN A SUPPORTING ROLE -- Walter Brennan {""Pastor Posier Pile""}",,
1941,Sergeant York,"ACTRESS IN A SUPPORTING ROLE -- Margaret Wycherly {""Mother York""}",,
1941,Sergeant York,ART DIRECTION (Black-and-White) -- Art Direction: John Hughes; Interior Decoration: Fred MacLean,,
1941,Sergeant York,CINEMATOGRAPHY (Black-and-White) -- Sol Polito,,
1941,Sergeant York,DIRECTING -- Howard Hawks,,
1941,Sergeant York,FILM EDITING -- William Holmes,won,
1941,Sergeant York,MUSIC (Music Score of a Dramatic Picture) -- Max Steiner,,
1941,Sergeant York,OUTSTANDING MOTION PICTURE -- Warner Bros.,,
1941,Sergeant York,"SOUND RECORDING -- Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",,
1941,Sergeant York,"WRITING (Original Screenplay) -- Abem Finkel, Harry Chandlee, Howard Koch, John Huston",,
1950,Sunset Blvd.,"ACTOR -- William Holden {""Joe Gillis""}",,
1950,Sunset Blvd.,"ACTOR IN A SUPPORTING ROLE -- Erich von Stroheim {""Max Von Mayerling""}",,
1950,Sunset Blvd.,"ACTRESS -- Gloria Swanson {""Norma Desmond""}",,
1950,Sunset Blvd.,"ACTRESS IN A SUPPORTING ROLE -- Nancy Olson {""Betty Schaefer""}",,
1950,Sunset Blvd.,"ART DIRECTION (Black-and-White) -- Art Direction: Hans Dreier, John Meehan; Set Decoration: Sam Comer, Ray Moyer",won,
1950,Sunset Blvd.,CINEMATOGRAPHY (Black-and-White) -- John F. Seitz,,
1950,Sunset Blvd.,DIRECTING -- Billy Wilder,,
1950,Sunset Blvd.,"FILM EDITING -- Arthur Schmidt, Doane Harrison",,
1950,Sunset Blvd.,MUSIC (Music Score of a Dramatic or Comedy Picture) -- Franz Waxman,won,
1950,Sunset Blvd.,BEST MOTION PICTURE -- Paramount,,
1950,Sunset Blvd.,"WRITING (Story and Screenplay) -- Charles Brackett, Billy Wilder, D. M. Marshman, Jr.",won,
1983,Terms of Endearment,"ACTOR IN A SUPPORTING ROLE -- John Lithgow {""Sam Burns""} ",,
1983,Terms of Endearment,"ACTOR IN A SUPPORTING ROLE -- Jack Nicholson {""Garrett Breedlove""}",won,
1983,Terms of Endearment,"ACTRESS IN A LEADING ROLE -- Shirley MacLaine {""Aurora Greenway""}",won,
1983,Terms of Endearment,"ACTRESS IN A LEADING ROLE -- Debra Winger {""Emma Horton""}",,
1983,Terms of Endearment,"ART DIRECTION -- Art Direction: Polly Platt, Harold Michelson; Set Decoration: Tom Pedigo, Anthony Mondello",,
1983,Terms of Endearment,DIRECTING -- James L. Brooks,won,
1983,Terms of Endearment,FILM EDITING -- Richard Marks,,
1983,Terms of Endearment,MUSIC (Original Score) -- Michael Gore,,
1983,Terms of Endearment,"BEST PICTURE -- James L. Brooks, Producer",won,
1983,Terms of Endearment,"SOUND -- Donald O. Mitchell, Rick Kline, Kevin O'Connell, Jim Alexander",,
1983,Terms of Endearment,WRITING (Screenplay Based on Material from Another Medium) -- James L. Brooks,won,
2004,The Aviator,"ACTOR IN A LEADING ROLE -- Leonardo DiCaprio {""Howard Hughes""}",,
2004,The Aviator,"ACTOR IN A SUPPORTING ROLE -- Alan Alda {""Senator Ralph Owen Brewster""}",,
2004,The Aviator,"ACTRESS IN A SUPPORTING ROLE -- Cate Blanchett {""Katharine Hepburn""}",won,
2004,The Aviator,ART DIRECTION -- Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,won,
2004,The Aviator,CINEMATOGRAPHY -- Robert Richardson,won,
2004,The Aviator,COSTUME DESIGN -- Sandy Powell,won,
2004,The Aviator,DIRECTING -- Martin Scorsese,,
2004,The Aviator,FILM EDITING -- Thelma Schoonmaker,won,
2004,The Aviator,"BEST PICTURE -- Michael Mann and Graham King, Producers",,
2004,The Aviator,SOUND MIXING -- Tom Fleischman and Petur Hliddal,,
2004,The Aviator,WRITING (Original Screenplay) -- Written by John Logan,,
1985,The Color Purple,"ACTRESS IN A LEADING ROLE -- Whoopi Goldberg {""Celie""}",,
1985,The Color Purple,"ACTRESS IN A SUPPORTING ROLE -- Margaret Avery {""Shug Avery""}",,
1985,The Color Purple,"ACTRESS IN A SUPPORTING ROLE -- Oprah Winfrey {""Sofia""}",,
1985,The Color Purple,"ART DIRECTION -- Art Direction: J. Michael Riva, Robert W. Welch; Set Decoration: Linda DeScenna",,
1985,The Color Purple,CINEMATOGRAPHY -- Allen Daviau,,
1985,The Color Purple,COSTUME DESIGN -- Aggie Guerard Rodgers,,
1985,The Color Purple,MAKEUP -- Ken Chase,,
1985,The Color Purple,"MUSIC (Original Score) -- Quincy Jones, Jeremy Lubbock, Rod Temperton, Caiphus Semenya, Andrae Crouch, Chris Boardman, Jorge Calandrelli, Joel Rosenbaum, Fred Steiner, Jack Hayes, Jerry Hey, Randy Kerber",,
1985,The Color Purple,"MUSIC (Original Song) -- ""Miss Celie's Blues (Sister),"" Music by Quincy Jones and Rod Temperton; Lyric by Quincy Jones, Rod Temperton and Lionel Richie",,
1985,The Color Purple,"BEST PICTURE -- Steven Spielberg, Kathleen Kennedy, Frank Marshall and Quincy Jones, Producers",,
1985,The Color Purple,WRITING (Screenplay Based on Material from Another Medium) -- Menno Meyjes,,
1972,The Godfather,"ACTOR -- Marlon Brando {""Don Vito Corleone""}",won,
1972,The Godfather,"ACTOR IN A SUPPORTING ROLE -- James Caan {""Sonny Corleone""}",,
1972,The Godfather,"ACTOR IN A SUPPORTING ROLE -- Robert Duvall {""Tom Hagen""}",,
1972,The Godfather,"ACTOR IN A SUPPORTING ROLE -- Al Pacino {""Michael Corleone""}",,
1972,The Godfather,COSTUME DESIGN -- Anna Hill Johnstone,,
1972,The Godfather,DIRECTING -- Francis Ford Coppola,,
1972,The Godfather,"FILM EDITING -- William Reynolds, Peter Zinner",,
1972,The Godfather,MUSIC (Original Dramatic Score) -- Nino Rota,,x
1972,The Godfather,"BEST PICTURE -- Albert S. Ruddy, Producer",won,
1972,The Godfather,"SOUND -- Bud Grenzbach, Richard Portman, Christopher Newman",,
